fecha,FK_TipoDato,FK_Periodo,Anyo,ipca,Secreto,data_type,extraction_date,ipca_monthly_rate,ipca_annual_rate
2006-12-31,1,1970-01-01 00:00:00.000000019,2007,145.935,False,ipca,2025-10-27 17:19:18,,
2007-03-31,1,1970-01-01 00:00:00.000000020,2007,150.103,False,ipca,2025-10-27 17:19:18,2.856066056806106,
2007-06-30,1,1970-01-01 00:00:00.000000021,2007,151.719,False,ipca,2025-10-27 17:19:18,1.0765940720705025,
2007-09-30,1,1970-01-01 00:00:00.000000022,2007,150.64,False,ipca,2025-10-27 17:19:18,-0.7111831741574925,
2007-12-31,1,1970-01-01 00:00:00.000000019,2008,150.082,False,ipca,2025-10-27 17:19:18,-0.3704195432819968,
2008-03-31,1,1970-01-01 00:00:00.000000020,2008,149.618,False,ipca,2025-10-27 17:19:18,-0.3091643235031527,
2008-06-30,1,1970-01-01 00:00:00.000000021,2008,147.134,False,ipca,2025-10-27 17:19:18,-1.6602280474274589,
2008-09-30,1,1970-01-01 00:00:00.000000022,2008,142.511,False,ipca,2025-10-27 17:19:18,-3.1420337923253605,
2008-12-31,1,1970-01-01 00:00:00.000000019,2009,138.693,False,ipca,2025-10-27 17:19:18,-2.679091438555614,
2009-03-31,1,1970-01-01 00:00:00.000000020,2009,138.082,False,ipca,2025-10-27 17:19:18,-0.44054133950525154,
2009-06-30,1,1970-01-01 00:00:00.000000021,2009,136.845,False,ipca,2025-10-27 17:19:18,-0.8958444981967184,
2009-09-30,1,1970-01-01 00:00:00.000000022,2009,136.313,False,ipca,2025-10-27 17:19:18,-0.38876100697871063,
2009-12-31,1,1970-01-01 00:00:00.000000019,2010,134.626,False,ipca,2025-10-27 17:19:18,-1.2375928928275215,-7.749340459793741
2010-03-31,1,1970-01-01 00:00:00.000000020,2010,136.79,False,ipca,2025-10-27 17:19:18,1.6074161009017374,-8.869243119724468
2010-06-30,1,1970-01-01 00:00:00.000000021,2010,133.846,False,ipca,2025-10-27 17:19:18,-2.1522041084874544,-11.780330743018341
