fecha,FK_TipoDato,FK_Periodo,Anyo,ipca,Secreto,data_type,extraction_date
2006-12-31,1,19,2007,145.935,False,ipca,2025-10-27 17:19:18
2007-03-31,1,20,2007,150.103,False,ipca,2025-10-27 17:19:18
2007-06-30,1,21,2007,151.719,False,ipca,2025-10-27 17:19:18
2007-09-30,1,22,2007,150.64,False,ipca,2025-10-27 17:19:18
2007-12-31,1,19,2008,150.082,False,ipca,2025-10-27 17:19:18
2008-03-31,1,20,2008,149.618,False,ipca,2025-10-27 17:19:18
2008-06-30,1,21,2008,147.134,False,ipca,2025-10-27 17:19:18
2008-09-30,1,22,2008,142.511,False,ipca,2025-10-27 17:19:18
2008-12-31,1,19,2009,138.693,False,ipca,2025-10-27 17:19:18
2009-03-31,1,20,2009,138.082,False,ipca,2025-10-27 17:19:18
2009-06-30,1,21,2009,136.845,False,ipca,2025-10-27 17:19:18
2009-09-30,1,22,2009,136.313,False,ipca,2025-10-27 17:19:18
2009-12-31,1,19,2010,134.626,False,ipca,2025-10-27 17:19:18
2010-03-31,1,20,2010,136.79,False,ipca,2025-10-27 17:19:18
2010-06-30,1,21,2010,133.846,False,ipca,2025-10-27 17:19:18
2010-09-30,1,22,2010,133.718,False,ipca,2025-10-27 17:19:18
2010-12-31,1,19,2011,129.059,False,ipca,2025-10-27 17:19:18
2011-03-31,1,20,2011,127.528,False,ipca,2025-10-27 17:19:18
2011-06-30,1,21,2011,123.948,False,ipca,2025-10-27 17:19:18
2011-09-30,1,22,2011,118.782,False,ipca,2025-10-27 17:19:18
2011-12-31,1,19,2012,112.861,False,ipca,2025-10-27 17:19:18
2012-03-31,1,20,2012,109.187,False,ipca,2025-10-27 17:19:18
2012-06-30,1,21,2012,105.073,False,ipca,2025-10-27 17:19:18
2012-09-30,1,22,2012,103.593,False,ipca,2025-10-27 17:19:18
2012-12-31,1,19,2013,96.768,False,ipca,2025-10-27 17:19:18
2013-03-31,1,20,2013,96.041,False,ipca,2025-10-27 17:19:18
2013-06-30,1,21,2013,96.742,False,ipca,2025-10-27 17:19:18
2013-09-30,1,22,2013,95.512,False,ipca,2025-10-27 17:19:18
2013-12-31,1,19,2014,95.208,False,ipca,2025-10-27 17:19:18
2014-03-31,1,20,2014,96.805,False,ipca,2025-10-27 17:19:18
2014-06-30,1,21,2014,97.002,False,ipca,2025-10-27 17:19:18
2014-09-30,1,22,2014,97.194,False,ipca,2025-10-27 17:19:18
2014-12-31,1,19,2015,96.651,False,ipca,2025-10-27 17:19:18
2015-03-31,1,20,2015,100.687,False,ipca,2025-10-27 17:19:18
2015-06-30,1,21,2015,101.358,False,ipca,2025-10-27 17:19:18
2015-09-30,1,22,2015,101.305,False,ipca,2025-10-27 17:19:18
2015-12-31,1,19,2016,102.775,False,ipca,2025-10-27 17:19:18
2016-03-31,1,20,2016,104.601,False,ipca,2025-10-27 17:19:18
2016-06-30,1,21,2016,105.431,False,ipca,2025-10-27 17:19:18
2016-09-30,1,22,2016,105.848,False,ipca,2025-10-27 17:19:18
2016-12-31,1,19,2017,108.239,False,ipca,2025-10-27 17:19:18
2017-03-31,1,20,2017,110.41,False,ipca,2025-10-27 17:19:18
2017-06-30,1,21,2017,112.442,False,ipca,2025-10-27 17:19:18
2017-09-30,1,22,2017,113.457,False,ipca,2025-10-27 17:19:18
2017-12-31,1,19,2018,114.994,False,ipca,2025-10-27 17:19:18
2018-03-31,1,20,2018,117.941,False,ipca,2025-10-27 17:19:18
2018-06-30,1,21,2018,120.491,False,ipca,2025-10-27 17:19:18
2018-09-30,1,22,2018,120.954,False,ipca,2025-10-27 17:19:18
2018-12-31,1,19,2019,122.758,False,ipca,2025-10-27 17:19:18
2019-03-31,1,20,2019,124.175,False,ipca,2025-10-27 17:19:18
2019-06-30,1,21,2019,126.135,False,ipca,2025-10-27 17:19:18
2019-09-30,1,22,2019,125.32,False,ipca,2025-10-27 17:19:18
2019-12-31,1,19,2020,126.695,False,ipca,2025-10-27 17:19:18
2020-03-31,1,20,2020,126.799,False,ipca,2025-10-27 17:19:18
2020-06-30,1,21,2020,128.255,False,ipca,2025-10-27 17:19:18
2020-09-30,1,22,2020,127.179,False,ipca,2025-10-27 17:19:18
2020-12-31,1,19,2021,127.831,False,ipca,2025-10-27 17:19:18
2021-03-31,1,20,2021,130.937,False,ipca,2025-10-27 17:19:18
2021-06-30,1,21,2021,133.652,False,ipca,2025-10-27 17:19:18
2021-09-30,1,22,2021,135.291,False,ipca,2025-10-27 17:19:18
2021-12-31,1,19,2022,138.742,False,ipca,2025-10-27 17:19:18
2022-03-31,1,20,2022,141.433,False,ipca,2025-10-27 17:19:18
2022-06-30,1,21,2022,143.86,False,ipca,2025-10-27 17:19:18
2022-09-30,1,22,2022,142.666,False,ipca,2025-10-27 17:19:18
2022-12-31,1,19,2023,143.58,False,ipca,2025-10-27 17:19:18
2023-03-31,1,20,2023,146.583,False,ipca,2025-10-27 17:19:18
2023-06-30,1,21,2023,150.273,False,ipca,2025-10-27 17:19:18
2023-09-30,1,22,2023,148.69,False,ipca,2025-10-27 17:19:18
2023-12-31,1,19,2024,152.618,False,ipca,2025-10-27 17:19:18
2024-03-31,1,20,2024,158.083,False,ipca,2025-10-27 17:19:18
2024-06-30,1,21,2024,162.521,False,ipca,2025-10-27 17:19:18
2024-09-30,1,22,2024,165.433,False,ipca,2025-10-27 17:19:18
2024-12-31,1,19,2025,171.296,False,ipca,2025-10-27 17:19:18
2025-03-31,1,20,2025,178.184,False,ipca,2025-10-27 17:19:18
